date,total
2022-09-15,6.534672927921336e-06
2022-09-16,5.7919034636554e-06
2022-09-17,6.05262679643977e-06
2022-09-18,6.481171447004986e-06
2022-09-19,6.443508584849832e-06
2022-09-20,5.994326982519214e-06
2022-09-21,5.770043841797557e-06
2022-09-22,5.535837138554544e-06
2022-09-23,5.559955489322577e-06
2022-09-24,5.60628138238481e-06
2022-09-25,5.865469690941424e-06
2022-09-26,6.28353242239572e-06
2022-09-27,6.366743727213452e-06
2022-09-28,6.027899813869033e-06
2022-09-29,5.7116405240801925e-06
2022-09-30,5.499028338174766e-06
2022-10-01,5.513861908898939e-06
2022-10-02,5.508443632193064e-06
2022-10-03,5.750083870655769e-06
2022-10-04,6.145840751997096e-06
2022-10-05,6.364901761152844e-06
2022-10-06,6.11859218530954e-06
2022-10-07,5.792499074524979e-06
2022-10-08,5.525930449869881e-06
2022-10-09,5.43460645567956e-06
2022-10-10,5.478026480316054e-06
2022-10-11,5.669057799184787e-06
2022-10-12,5.971955727367069e-06
2022-10-13,6.323165864370758e-06
2022-10-14,6.173446346419008e-06
2022-10-15,5.781045610212545e-06
2022-10-16,5.545169860235562e-06
2022-10-17,5.443424774911182e-06
2022-10-18,5.439036754492069e-06
2022-10-19,5.592228704443451e-06
2022-10-20,5.839000167000721e-06
2022-10-21,6.283520618317326e-06
2022-10-22,6.286131694654162e-06
2022-10-23,5.887815809100399e-06
2022-10-24,5.672685364901712e-06
2022-10-25,5.475681145237349e-06
2022-10-26,5.398425652356012e-06
2022-10-27,5.497644288699145e-06
2022-10-28,5.746241945569518e-06
2022-10-29,6.137008340657475e-06
2022-10-30,6.226786923335069e-06
2022-10-31,5.923144189187929e-06
2022-11-01,5.669878198939699e-06
2022-11-02,5.40805034822019e-06
2022-11-03,5.3431588178458775e-06
2022-11-04,5.414426548597996e-06
2022-11-05,5.617931184148548e-06
2022-11-06,5.956025754245252e-06
2022-11-07,6.198718728018373e-06
2022-11-08,5.986716835792353e-06
2022-11-09,5.6649646838210806e-06
2022-11-10,5.391805846601327e-06
2022-11-11,5.316587878139645e-06
2022-11-12,5.3457452963328445e-06
2022-11-13,5.51150457004019e-06
2022-11-14,5.82650843895634e-06
2022-11-15,6.192225339020588e-06
2022-11-16,6.104252815881464e-06
2022-11-17,5.690056642060387e-06
2022-11-18,5.4331897064494014e-06
2022-11-19,5.297621791020206e-06
2022-11-20,5.279778200105116e-06
2022-11-21,5.441716019558141e-06
2022-11-22,5.697380673896044e-06
2022-11-23,6.1369172686547895e-06
2022-11-24,6.137736431686563e-06
2022-11-25,5.738356051973355e-06
2022-11-26,5.42735018380405e-06
2022-11-27,5.264795858872963e-06
2022-11-28,5.2292582958799775e-06
2022-11-29,5.334084657261666e-06
2022-11-30,5.573638692435624e-06
2022-12-01,5.966639641935781e-06
2022-12-02,6.103333504332198e-06
2022-12-03,5.819981935025898e-06
2022-12-04,5.441235351378767e-06
2022-12-05,5.279351844512472e-06
2022-12-06,5.204997784917286e-06
2022-12-07,5.500634150430079e-06
2022-12-08,5.4913419439538655e-06
2022-12-09,5.8346223770297725e-06
2022-12-10,6.078499438919837e-06
2022-12-11,5.893841802693361e-06
2022-12-12,5.538644802775671e-06
2022-12-13,5.307386925220535e-06
2022-12-14,5.202881223739342e-06
2022-12-15,5.238331200460462e-06
2022-12-16,5.391362007654431e-06
2022-12-17,5.712018450470477e-06
2022-12-18,6.102986652476088e-06
2022-12-19,6.021222352306024e-06
2022-12-20,5.58704398056353e-06
2022-12-21,5.338487107979196e-06
2022-12-22,5.20403132914945e-06
2022-12-23,5.200058394645561e-06
2022-12-24,5.331518534792673e-06
2022-12-25,5.583803762162576e-06
2022-12-26,6.023917617774909e-06
2022-12-27,6.047482196867533e-06
2022-12-28,5.663519562623482e-06
2022-12-29,5.368055993534288e-06
2022-12-30,5.212433805026489e-06
2022-12-31,5.173775317269278e-06
2023-01-01,5.261268645283535e-06
2023-01-02,5.506076894588241e-06
2023-01-03,5.894307375418824e-06
2023-01-04,5.997439515566036e-06
2023-01-05,5.778335357888029e-06
2023-01-06,5.437794081694123e-06
2023-01-07,5.243158986490561e-06
2023-01-08,5.141436872601772e-06
2023-01-09,5.223091296930224e-06
2023-01-10,5.447900344382274e-06
2023-01-11,5.775813068717949e-06
2023-01-12,6.07953522868411e-06
2023-01-13,5.884663068948545e-06
2023-01-14,5.500857739134416e-06
2023-01-15,5.286029165344031e-06
2023-01-16,5.166610606279405e-06
2023-01-17,5.179775633990279e-06
2023-01-18,5.368500482910439e-06
2023-01-19,5.677623302376265e-06
2023-01-20,6.039892956852208e-06
2023-01-21,6.001769862330289e-06
2023-01-22,5.575399195758133e-06
2023-01-23,5.2885808217046106e-06
2023-01-24,5.159060597465087e-06
2023-01-25,5.157326848907189e-06
2023-01-26,5.283418241008765e-06
2023-01-27,5.572997238247222e-06
2023-01-28,5.974553591004316e-06
2023-01-29,6.019877424490718e-06
2023-01-30,5.66529148329093e-06
2023-01-31,5.350870603300495e-06
2023-02-01,5.153703144797314e-06
2023-02-02,5.140647463412675e-06
2023-02-03,5.225030533506417e-06
2023-02-04,5.446273357425526e-06
2023-02-05,5.777736715748581e-06
2023-02-06,5.971660912603591e-06
2023-02-07,5.749722923121284e-06
2023-02-08,5.379764195889688e-06
2023-02-09,5.177382088522412e-06
2023-02-10,5.09880929531431e-06
2023-02-11,5.159070266449913e-06
2023-02-12,5.352310557172207e-06
2023-02-13,5.71809572102168e-06
2023-02-14,6.022602701409425e-06
2023-02-15,5.87765917308999e-06
2023-02-16,5.458504497050697e-06
2023-02-17,5.283590082215219e-06
2023-02-18,5.123369190684677e-06
2023-02-19,5.15694133354899e-06
2023-02-20,5.27584761818401e-06
2023-02-21,5.576242801993447e-06
2023-02-22,5.9900380551163805e-06
2023-02-23,5.930148341514048e-06
2023-02-24,5.517404776350715e-06
2023-02-25,5.242868605399832e-06
2023-02-26,5.092148445380549e-06
2023-02-27,5.0705945433605e-06
2023-02-28,5.2065908904682365e-06
2023-03-01,5.45960530244474e-06
2023-03-02,5.87800707264722e-06
2023-03-03,5.9651884832787085e-06
2023-03-04,5.570345469059987e-06
2023-03-05,5.25728409555392e-06
2023-03-06,5.056093755381887e-06
2023-03-07,5.021177912381691e-06
2023-03-08,5.117219945861922e-06
2023-03-09,5.343543938286047e-06
2023-03-10,5.707062809831119e-06
2023-03-11,5.880171533444063e-06
2023-03-12,5.6552376699088645e-06
2023-03-13,5.297147955154968e-06
2023-03-14,5.08620148601084e-06
2023-03-15,5.023754176185058e-06
2023-03-16,5.050544467786635e-06
2023-03-17,5.240269899013992e-06
2023-03-18,5.568021608958842e-06
2023-03-19,5.884010704236844e-06
2023-03-20,5.76072788849399e-06
2023-03-21,5.339103707899055e-06
2023-03-22,5.08962533969005e-06
2023-03-23,4.973679620981299e-06
2023-03-24,4.99816787113978e-06
2023-03-25,5.169449306324147e-06
2023-03-26,5.450806132448145e-06
2023-03-27,5.874499689363929e-06
2023-03-28,5.857897008063171e-06
2023-03-29,5.435358449080193e-06
2023-03-30,5.143929009570979e-06
2023-03-31,4.986770318998646e-06
2023-04-01,4.9897359913635e-06
2023-04-02,5.123798828423408e-06
2023-04-03,5.37710238059141e-06
2023-04-04,5.822958619051024e-06
2023-04-05,5.860216797126334e-06
2023-04-06,5.504887317492904e-06
2023-04-07,5.207855453383452e-06
2023-04-08,5.026475277026711e-06
2023-04-09,4.978703868248564e-06
2023-04-10,5.09072344738158e-06
2023-04-11,5.306756699965902e-06
2023-04-12,5.742566299432195e-06
2023-04-13,6.22476779753733e-06
2023-04-14,5.740637013305422e-06
2023-04-15,5.357441963494387e-06
2023-04-16,5.100946825777578e-06
2023-04-17,4.998884513117358e-06
2023-04-18,5.042618792829579e-06
2023-04-19,5.249233915605709e-06
2023-04-20,5.563981328618086e-06
2023-04-21,5.87269928696534e-06
2023-04-22,5.701736567454001e-06
2023-04-23,5.35842715642274e-06
2023-04-24,5.070274950637177e-06
2023-04-25,4.948836213076366e-06
2023-04-26,4.970330874761071e-06
2023-04-27,5.142455942007317e-06
2023-04-28,5.426148075428597e-06
2023-04-29,5.861799460419956e-06
2023-04-30,5.825195621950665e-06
2023-05-01,5.435553393076969e-06
2023-05-02,5.132720371205258e-06
2023-05-03,4.988776437392335e-06
2023-05-04,4.956297191823369e-06
2023-05-05,5.068220054374749e-06
2023-05-06,5.360248209821741e-06
2023-05-07,5.741835576087547e-06
2023-05-08,5.870149807487051e-06
2023-05-09,5.489032734846537e-06
2023-05-10,5.191886736285745e-06
2023-05-11,5.086646179531287e-06
2023-05-12,5.273702970176479e-06
2023-05-13,5.068141913137593e-06
